"","Day","theta","MRS","MeanAngle","StdAngle","COM"
"132","Angular",1.31,50105940446.537,-2.3204250222163,16573.5041108195,3.5527136788005e-15
"133","Angular",1.32,50056676362.0173,-2.26585620055315,16573.5041108195,1.46482137552712e-14
"134","Angular",1.33,49280637259.793,-2.21075558350474,16573.5041108195,0
"135","Angular",1.34,49269154997.755,-2.15517830162348,16573.5041108195,3.5527136788005e-15
"136","Angular",1.35,48432805642.794,-2.09918005446562,16573.5041108195,0
"137","Angular",1.36,48063115340.7225,-2.04281705160622,16573.5041108195,3.5527136788005e-15
"138","Angular",1.37,47588836925.0485,-1.98614595242009,16573.5041108195,0
"139","Angular",1.38,47433836244.2986,-1.92922380471427,16573.5041108195,1.4210854715202e-14
"140","Angular",1.39,46821760280.6834,-1.87210798230574,16573.5041108195,0
"141","Angular",1.4,45957311719.3789,-1.81485612164427,16573.5041108195,0
"142","Angular",1.41,45359225137.8147,-1.75752605758765,16573.5041108195,0
"143","Angular",1.42,44714189180.8488,-1.70017575844227,16573.5041108195,0
"144","Angular",1.43,44500302736.6644,-1.64286326038818,16573.5041108195,1.46482137552712e-14
"145","Angular",1.44,43428434607.0085,-1.58564660141299,16573.5041108195,1.46482137552712e-14
"146","Angular",1.45,42801988854.8089,-1.52858375488307,16573.5041108195,0
"147","Angular",1.46,42386781658.8071,-1.47173256288515,16573.5041108195,1.4210854715202e-14
"148","Angular",1.47,41362111141.6795,-1.41515066947423,16573.5041108195,3.5527136788005e-15
"149","Angular",1.48,40635274648.3511,-1.35889545396627,16573.5041108195,3.5527136788005e-15
"150","Angular",1.49,40203813109.3175,-1.3030239644162,16573.5041108195,3.5527136788005e-15
"151","Angular",1.5,38904496361.6451,-1.24759285142196,16573.5041108195,1.4210854715202e-14
"152","Angular",1.51,38356877895.6435,-1.19265830239652,16573.5041108195,0
"153","Angular",1.52,37624852468.7312,-1.13827597644809,16573.5041108195,3.5527136788005e-15
"154","Angular",1.53,36867905053.3675,-1.0845009400075,16573.5041108195,0
"155","Angular",1.54,36451858692.3139,-1.03138760334005,16573.5041108195,3.5527136788005e-15
"156","Angular",1.55,35703783523.5066,-0.978989658074781,16573.5041108195,0
"157","Angular",1.56,34543671660.2819,-0.927360015881234,16573.5041108195,0
"158","Angular",1.57,33829515912.0043,-0.876550748418424,16573.5041108195,3.5527136788005e-15
"159","Angular",1.58,33099865212.7929,-0.826613028675766,16573.5041108195,3.5527136788005e-15
"160","Angular",1.59,32286802456.3786,-0.777597073819379,16573.5041108195,1.4210854715202e-14
