YEAR  MO  DA  HR      LAT       LON   CO2 20000
2012   8  16   0  40.1368  -95.9675  0.6058E-07
2012   8  16   0  40.1868  -95.9675  0.4008E-07
2012   8  16   0  40.2368  -95.9675  0.2996E-07
2012   8  16   0  40.2868  -95.9675  0.2339E-07
2012   8  16   0  40.3368  -95.9675  0.1791E-07
2012   8  16   0  40.3868  -95.9675  0.1235E-07
2012   8  16   0  40.4368  -95.9675  0.9967E-08
2012   8  16   0  40.4868  -95.9675  0.7833E-08
2012   8  16   0  40.5368  -95.9675  0.6184E-08
2012   8  16   0  40.5868  -95.9675  0.5141E-08
2012   8  16   0  40.6368  -95.9675  0.4516E-08
2012   8  16   0  40.6868  -95.9675  0.3663E-08
2012   8  16   0  40.7368  -95.9675  0.3322E-08
2012   8  16   0  40.7868  -95.9675  0.2954E-08
2012   8  16   0  40.8368  -95.9675  0.2594E-08
2012   8  16   0  40.8868  -95.9675  0.2079E-08
2012   8  16   0  40.9368  -95.9675  0.1456E-08
2012   8  16   0  40.9868  -95.9675  0.1199E-08
2012   8  16   0  41.0368  -95.9675  0.1355E-08
2012   8  16   0  41.0868  -95.9675  0.9824E-09
2012   8  16   0  41.1368  -95.9675  0.6613E-09
2012   8  16   0  41.1868  -95.9675  0.5213E-09
2012   8  16   0  41.2368  -95.9675  0.4320E-09
2012   8  16   0  41.2868  -95.9675  0.4767E-09
2012   8  16   0  41.3368  -95.9675  0.3952E-09
2012   8  16   0  41.3868  -95.9675  0.3009E-09
2012   8  16   0  41.4368  -95.9675  0.2916E-09
2012   8  16   0  41.4868  -95.9675  0.1364E-09
2012   8  16   0  41.5368  -95.9675  0.1365E-09
2012   8  16   0  41.5868  -95.9675  0.1366E-09
2012   8  16   0  42.1868  -95.9675  0.1457E-09
2012   8  16   0  42.2368  -95.9675  0.9719E-10
2012   8  16   0  39.4368  -95.9175  0.1587E-10
2012   8  16   0  39.4868  -95.9175  0.1684E-08
2012   8  16   0  39.5368  -95.9175  0.1248E-07
2012   8  16   0  39.5868  -95.9175  0.2975E-07
2012   8  16   0  39.6368  -95.9175  0.4315E-07
2012   8  16   0  39.6868  -95.9175  0.4658E-07
2012   8  16   0  39.7368  -95.9175  0.4748E-07
2012   8  16   0  39.7868  -95.9175  0.5286E-07
2012   8  16   0  39.8368  -95.9175  0.6592E-07
2012   8  16   0  39.8868  -95.9175  0.8007E-07
2012   8  16   0  39.9368  -95.9175  0.1104E-06
2012   8  16   0  39.9868  -95.9175  0.1358E-06
2012   8  16   0  40.0368  -95.9175  0.1332E-06
2012   8  16   0  40.0868  -95.9175  0.1136E-06
